,urls,标题,标签,简介,封面图片,标题分数,标签分数,封面图片分数
17,BV1VV411P763,黑塞封神之作！小说《悉达多》精讲①,小说 文学 黑塞 拆书 文学鉴赏大会！ ,黑塞小说《悉达多》精讲①,http://i2.hdslb.com/bfs/archive/bba8327553159d4d966513a36b0e07be64d4dd19.jpg,0.0845798608014702,0.0,-1.25
16,BV1p34y1K77V,黑塞封神之作！小说《悉达多》精讲②,小说 文学 读书 黑塞 ,黑塞小说《悉达多》精讲,http://i0.hdslb.com/bfs/archive/61d9f02d1e4a065ad770f521db18f1d88f2ebe38.jpg,0.0845798608014702,0.08768681980142445,-1.1875
4,BV1u5411i77u,王莽为何断子绝孙？帝国哲学王的探索与毁灭,历史 家庭 文化 经济 阅读 儒家 汉朝 古代政治 ,《祥瑞：王莽和他的时代》拆书精讲第二期： 1.王莽与新朝第一家庭的人伦惨剧 2.王莽改制的内容与成败 3.王莽的性格与其覆灭的必然性,http://i2.hdslb.com/bfs/archive/289e22a336056d3f312a2c2e562008f21d45215d.jpg,0.07780894359285004,0.05992996822422368,-1.4375
16,BV1p34y1K77V,黑塞封神之作！小说《悉达多》精讲②,小说 文学 读书 黑塞 ,黑塞小说《悉达多》精讲,http://i0.hdslb.com/bfs/archive/61d9f02d1e4a065ad770f521db18f1d88f2ebe38.jpg,0.0845798608014702,0.08768681980142445,-1.1875
5,BV14p4y1o73c,王莽崛起与儒家的帝国野望,历史 文化 人物 王莽 汉朝 儒家 董仲舒 ,《祥瑞：王莽和他的时代》拆书精讲第一部分：儒家在西汉的历史沿革与发展,http://i1.hdslb.com/bfs/archive/8c4d7450c4e203e84fd19263c6b1f07e1797a358.jpg,0.0,0.06437099366532754,-0.875
4,BV1u5411i77u,王莽为何断子绝孙？帝国哲学王的探索与毁灭,历史 家庭 文化 经济 阅读 儒家 汉朝 古代政治 ,《祥瑞：王莽和他的时代》拆书精讲第二期： 1.王莽与新朝第一家庭的人伦惨剧 2.王莽改制的内容与成败 3.王莽的性格与其覆灭的必然性,http://i2.hdslb.com/bfs/archive/289e22a336056d3f312a2c2e562008f21d45215d.jpg,0.07780894359285004,0.05992996822422368,-1.4375
0,BV1FF4m177wY,李自成做错了什么？复盘山海关之战《南明史》拆书精讲①,战争 明朝 北京 历史 阅读 吴三桂 清朝 多尔衮 故事 封建 ,这是顾诚老师著作《南明史》的第一期，如果播放量还过得去，且没有太多消极的声音，预计会出一系列视频。 本期内容包括： 1.我个人做系列视频需要在历史观上把握的方向 2.明清易代的本质是什么？ 3.盘点李自成的税收与军事错误 4.山海关之战,http://i2.hdslb.com/bfs/archive/fe85422b14e763c05235474ca7460c82c70d07a3.jpg,0.0,0.0,-0.3125
1,BV18C411s7FG,清朝宫女如何过大年？《宫女谈往录》拆书精讲,历史 故宫 北京 宫廷 春节 习俗 慈禧 清朝 风俗 过年 ,历史读物《宫女谈往录》部分内容拆书精讲,http://i2.hdslb.com/bfs/archive/7cd78840339ecbd014047d2ba0c81d05be8b748c.jpg,0.0,0.0,-1.0625
2,BV14y421a7ex,美国如何解构钢铁工人？《钢的城-美国锈带兴衰史》拆书精讲,医疗 历史 工厂 权力 斗争 工人 种族 阶级 资本 性别 ,（嗓子因为感冒极不稳定，时哑时不哑，抱歉） 斗争、瓦解与重生：一部匹兹堡钢铁工人的历史。 1.二战后美国劳工面临的时代环境 2.美国钢铁业大萧条的原因 3.美国工人阶级家庭对妇女的有限解放如何伤害了自身 4.种族问题如何伤害了美国工人阶级的情感认同 5.匹兹堡如何完成城市转型,http://i2.hdslb.com/bfs/archive/1c0036004eef40841867d0f3920d847c724c0289.jpg,0.0,0.0,-0.75
3,BV1wK411h7DC,茨威格厌女吗？深度精讲《一个陌生女人的来信》,女性 爱情 心理 文学 阅读 男女 ,-,http://i2.hdslb.com/bfs/archive/4a246b9ff8dbf653cea40ecb0b033a79b0054904.jpg,0.0,0.0,-0.25
0,BV1FF4m177wY,李自成做错了什么？复盘山海关之战《南明史》拆书精讲①,战争 明朝 北京 历史 阅读 吴三桂 清朝 多尔衮 故事 封建 ,这是顾诚老师著作《南明史》的第一期，如果播放量还过得去，且没有太多消极的声音，预计会出一系列视频。 本期内容包括： 1.我个人做系列视频需要在历史观上把握的方向 2.明清易代的本质是什么？ 3.盘点李自成的税收与军事错误 4.山海关之战,http://i2.hdslb.com/bfs/archive/fe85422b14e763c05235474ca7460c82c70d07a3.jpg,0.0,0.0,-0.3125
14,BV17C4y1o77M,【嵇康传02】血泪高平陵！竹林七贤的崩解与赤红之焰,人物 历史 哲学 读书 嵇康 竹林七贤 玄学 阮籍 魏晋南北朝 ,嵇康人物评说第二期；《嵇康传》拆书精讲；魏晋名士在高平陵之变后的处境；竹林七贤的相聚与离散；阮籍心路解析。,http://i2.hdslb.com/bfs/archive/420b2cc6739eb5685b0d1260433dcfc611885cee.jpg,0.0,0.05629715757507138,-0.3125
30,BV1A7411e7GE,【空白】克苏鲁睡前故事-巴虺的牧群（上）,惊悚 有声书 诡异 克苏鲁 剧情 睡前故事 冒险 巴虺的牧群 有声小说 游戏练级挑战 ,《巴虺的牧群》 作者：oobmab 很多小伙伴私信我说想听纯音频节目，就试着录了一期个人很喜欢的国产克苏鲁小说。 PS：录的时候习惯性把“禹”念做第二声，应该是第三声，我就懒得改了。 喜欢的话请【点赞】【投币】【收藏】 谢谢~     微博：-空了个白-  抖音：空了个白,http://i2.hdslb.com/bfs/archive/cdb917fe43337cfa6e0ebb39ee9d3554ff9f28fe.jpg,0.20613696606828605,0.0,-1.3125
5,BV1bz4y1q7BA,中文克苏鲁佳作，本土克苏鲁神话《古塔》,克苏鲁神话 细思恐极 克苏鲁 轮回 本土克苏鲁 中文克苏鲁 恐怖小说 奇闻轶事 神秘学 民间传说 ,原文：trow.cc/board/index.php?showtopic=22048 作者：oobmab 播讲、制作：小黑屋的貘,http://i1.hdslb.com/bfs/archive/b6a6192c1b59a94889e65bbabbf32e083606d545.jpg,0.14976221961074726,0.0,-1.5625
28,BV1N642137mf,克苏鲁神话是文化入侵吗?浅谈克苏鲁中国化【高原守】,克苏鲁 人文 跑团 恐怖 游戏杂谈 高原守 克苏鲁怪物图鉴 克苏鲁神话TRPG 游戏鉴赏家 2023年度知识盘点 2023金知奖 ,回青岛录的音，手头没有平时用的电脑和设备，可能声音听上去怪了点 （mua的谁说小地方消费低的，回老家发现外卖一点也不比我上海便宜啊！）  高原守的学术交流中心（粉丝群一群][已满]）：629357424 高原守的学术活动中心（粉丝二群[已满]）：1074551509 高原守的大图书馆（粉丝三群）：934563854，重新复活，绝赞招募中 高原守的神秘学实验室（粉丝四群]重生）：176132127 高原守的小图书馆（粉丝五群）【new！】686681370 绝赞招募中 欢迎关注与投喂，还有三连！！！,http://i1.hdslb.com/bfs/archive/6a467aa630d7ed283e3e8a0e00c09bec18957ac1.jpg,0.14012086798868084,0.050656087645095244,-1.125
22,BV11T421y7dt,连科学家都无法解释的诅咒物品 千万别碰,恐怖 科学 高能 奇葩 生活记录 诡异 悬疑 名场面 ,-,http://i2.hdslb.com/bfs/archive/9e23c95d0a61798c0c9027e7b28584914aeb3c17.jpg,0.0,0.12735952979479354,-1.6875
